2022-08-06 10:57:47,766 INFO    MainThread:15076 [wandb_setup.py:_flush():76] Configure stats pid to 15076
2022-08-06 10:57:47,767 INFO    MainThread:15076 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Andrea\.config\wandb\settings
2022-08-06 10:57:47,767 INFO    MainThread:15076 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Andrea\Desktop\VisionAndPerceptionProject\wandb\settings
2022-08-06 10:57:47,767 INFO    MainThread:15076 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_service': 'True'}
2022-08-06 10:57:47,767 INFO    MainThread:15076 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'trainer.py', 'program': 'c:\\Users\\Andrea\\Desktop\\VisionAndPerceptionProject\\trainer.py'}
2022-08-06 10:57:47,767 INFO    MainThread:15076 [wandb_init.py:_log_setup():461] Logging user logs to C:\Users\Andrea\Desktop\VisionAndPerceptionProject\wandb\run-20220806_105747-3faemkey\logs\debug.log
2022-08-06 10:57:47,767 INFO    MainThread:15076 [wandb_init.py:_log_setup():462] Logging internal logs to C:\Users\Andrea\Desktop\VisionAndPerceptionProject\wandb\run-20220806_105747-3faemkey\logs\debug-internal.log
2022-08-06 10:57:47,767 INFO    MainThread:15076 [wandb_init.py:init():495] calling init triggers
2022-08-06 10:57:47,767 INFO    MainThread:15076 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2022-08-06 10:57:47,767 INFO    MainThread:15076 [wandb_init.py:init():548] starting backend
2022-08-06 10:57:47,768 INFO    MainThread:15076 [wandb_init.py:init():552] setting up manager
2022-08-06 10:57:47,774 INFO    MainThread:15076 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2022-08-06 10:57:47,779 INFO    MainThread:15076 [wandb_init.py:init():558] backend started and connected
2022-08-06 10:57:47,783 INFO    MainThread:15076 [wandb_init.py:init():636] updated telemetry
2022-08-06 10:57:47,852 INFO    MainThread:15076 [wandb_init.py:init():667] communicating run to backend with 30 second timeout
2022-08-06 10:57:48,357 INFO    MainThread:15076 [wandb_run.py:_on_init():1982] communicating current version
2022-08-06 10:57:48,480 INFO    MainThread:15076 [wandb_run.py:_on_init():1986] got version response 
2022-08-06 10:57:48,480 INFO    MainThread:15076 [wandb_init.py:init():700] starting run threads in backend
2022-08-06 10:57:48,675 INFO    MainThread:15076 [wandb_run.py:_console_start():1962] atexit reg
2022-08-06 10:57:48,676 INFO    MainThread:15076 [wandb_run.py:_redirect():1820] redirect: SettingsConsole.WRAP_RAW
2022-08-06 10:57:48,676 INFO    MainThread:15076 [wandb_run.py:_redirect():1885] Wrapping output streams.
2022-08-06 10:57:48,676 INFO    MainThread:15076 [wandb_run.py:_redirect():1907] Redirects installed.
2022-08-06 10:57:48,676 INFO    MainThread:15076 [wandb_init.py:init():732] run started, returning control to user process
2022-08-06 10:57:48,680 INFO    MainThread:15076 [wandb_watch.py:watch():47] Watching
