2022-08-07 13:23:31,334 INFO    MainThread:17728 [wandb_setup.py:_flush():76] Configure stats pid to 17728
2022-08-07 13:23:31,335 INFO    MainThread:17728 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Andrea\.config\wandb\settings
2022-08-07 13:23:31,335 INFO    MainThread:17728 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Andrea\Desktop\VisionAndPerceptionProject\wandb\settings
2022-08-07 13:23:31,335 INFO    MainThread:17728 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_service': 'True'}
2022-08-07 13:23:31,335 INFO    MainThread:17728 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'trainer.py', 'program': 'c:\\Users\\Andrea\\Desktop\\VisionAndPerceptionProject\\trainer.py'}
2022-08-07 13:23:31,335 INFO    MainThread:17728 [wandb_init.py:_log_setup():461] Logging user logs to C:\Users\Andrea\Desktop\VisionAndPerceptionProject\wandb\run-20220807_132331-13815wtf\logs\debug.log
2022-08-07 13:23:31,335 INFO    MainThread:17728 [wandb_init.py:_log_setup():462] Logging internal logs to C:\Users\Andrea\Desktop\VisionAndPerceptionProject\wandb\run-20220807_132331-13815wtf\logs\debug-internal.log
2022-08-07 13:23:31,335 INFO    MainThread:17728 [wandb_init.py:init():495] calling init triggers
2022-08-07 13:23:31,335 INFO    MainThread:17728 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2022-08-07 13:23:31,335 INFO    MainThread:17728 [wandb_init.py:init():548] starting backend
2022-08-07 13:23:31,335 INFO    MainThread:17728 [wandb_init.py:init():552] setting up manager
2022-08-07 13:23:31,341 INFO    MainThread:17728 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2022-08-07 13:23:31,347 INFO    MainThread:17728 [wandb_init.py:init():558] backend started and connected
2022-08-07 13:23:31,350 INFO    MainThread:17728 [wandb_init.py:init():636] updated telemetry
2022-08-07 13:23:31,396 INFO    MainThread:17728 [wandb_init.py:init():667] communicating run to backend with 30 second timeout
2022-08-07 13:23:31,993 INFO    MainThread:17728 [wandb_run.py:_on_init():1982] communicating current version
2022-08-07 13:23:32,124 INFO    MainThread:17728 [wandb_run.py:_on_init():1986] got version response 
2022-08-07 13:23:32,124 INFO    MainThread:17728 [wandb_init.py:init():700] starting run threads in backend
2022-08-07 13:23:32,313 INFO    MainThread:17728 [wandb_run.py:_console_start():1962] atexit reg
2022-08-07 13:23:32,313 INFO    MainThread:17728 [wandb_run.py:_redirect():1820] redirect: SettingsConsole.WRAP_RAW
2022-08-07 13:23:32,313 INFO    MainThread:17728 [wandb_run.py:_redirect():1885] Wrapping output streams.
2022-08-07 13:23:32,313 INFO    MainThread:17728 [wandb_run.py:_redirect():1907] Redirects installed.
2022-08-07 13:23:32,314 INFO    MainThread:17728 [wandb_init.py:init():732] run started, returning control to user process
2022-08-07 13:23:32,392 INFO    MainThread:17728 [wandb_watch.py:watch():47] Watching
2022-08-07 13:23:39,100 WARNING MsgRouterThr:17728 [router.py:message_loop():76] message_loop has been closed
